ts,PV_1,PV_2
2019-02-01 00:00:00,0.000,0.000
2019-02-01 00:15:00,0.000,0.000
2019-02-01 00:30:00,0.000,0.000
2019-02-01 00:45:00,0.000,0.000
2019-02-01 01:00:00,0.000,0.000
2019-02-01 01:15:00,0.000,0.000
2019-02-01 01:30:00,0.000,0.000
2019-02-01 01:45:00,0.000,0.000
2019-02-01 02:00:00,0.000,0.000
2019-02-01 02:15:00,0.000,0.000
2019-02-01 02:30:00,0.000,0.000
2019-02-01 02:45:00,0.000,0.000
2019-02-01 03:00:00,0.000,0.000
2019-02-01 03:15:00,0.000,0.000
2019-02-01 03:30:00,0.000,0.000
2019-02-01 03:45:00,0.000,0.000
2019-02-01 04:00:00,0.000,0.000
2019-02-01 04:15:00,0.000,0.000
2019-02-01 04:30:00,0.000,0.000
2019-02-01 04:45:00,0.000,0.000
2019-02-01 05:00:00,0.000,0.000
2019-02-01 05:15:00,0.000,0.000
2019-02-01 05:30:00,0.000,0.000
2019-02-01 05:45:00,0.000,0.000
2019-02-01 06:00:00,0.000,0.000
2019-02-01 06:15:00,0.000,0.000
2019-02-01 06:30:00,0.000,0.000
2019-02-01 06:45:00,0.000,0.000
2019-02-01 07:00:00,0.000,0.000
2019-02-01 07:15:00,0.000,0.000
2019-02-01 07:30:00,0.000,0.000
2019-02-01 07:45:00,0.000,0.000
2019-02-01 08:00:00,0.000,0.000
2019-02-01 08:15:00,0.000,0.000
2019-02-01 08:30:00,0.004,0.003
2019-02-01 08:45:00,0.017,0.010
2019-02-01 09:00:00,0.022,0.013
2019-02-01 09:15:00,0.043,0.026
2019-02-01 09:30:00,0.078,0.047
2019-02-01 09:45:00,0.103,0.062
2019-02-01 10:00:00,0.147,0.088
2019-02-01 10:15:00,0.181,0.109
2019-02-01 10:30:00,0.151,0.091
2019-02-01 10:45:00,0.164,0.098
2019-02-01 11:00:00,0.175,0.096
2019-02-01 11:15:00,0.180,0.078
2019-02-01 11:30:00,0.195,0.057
2019-02-01 11:45:00,0.210,0.078
2019-02-01 12:00:00,0.233,0.140
2019-02-01 12:15:00,0.240,0.150
2019-02-01 12:30:00,0.240,0.134
2019-02-01 12:45:00,0.220,0.119
2019-02-01 13:00:00,0.180,0.070
2019-02-01 13:15:00,0.123,0.062
2019-02-01 13:30:00,0.082,0.049
2019-02-01 13:45:00,0.069,0.041
2019-02-01 14:00:00,0.069,0.041
2019-02-01 14:15:00,0.069,0.041
2019-02-01 14:30:00,0.069,0.041
2019-02-01 14:45:00,0.060,0.036
2019-02-01 15:00:00,0.052,0.031
2019-02-01 15:15:00,0.043,0.026
2019-02-01 15:30:00,0.030,0.018
2019-02-01 15:45:00,0.026,0.016
2019-02-01 16:00:00,0.022,0.013
2019-02-01 16:15:00,0.009,0.005
2019-02-01 16:30:00,0.009,0.005
2019-02-01 16:45:00,0.000,0.000
2019-02-01 17:00:00,0.000,0.000
2019-02-01 17:15:00,0.000,0.000
2019-02-01 17:30:00,0.000,0.000
2019-02-01 17:45:00,0.000,0.000
2019-02-01 18:00:00,0.000,0.000
2019-02-01 18:15:00,0.000,0.000
2019-02-01 18:30:00,0.000,0.000
2019-02-01 18:45:00,0.000,0.000
2019-02-01 19:00:00,0.000,0.000
2019-02-01 19:15:00,0.000,0.000
2019-02-01 19:30:00,0.000,0.000
2019-02-01 19:45:00,0.000,0.000
2019-02-01 20:00:00,0.000,0.000
2019-02-01 20:15:00,0.000,0.000
2019-02-01 20:30:00,0.000,0.000
2019-02-01 20:45:00,0.000,0.000
2019-02-01 21:00:00,0.000,0.000
2019-02-01 21:15:00,0.000,0.000
2019-02-01 21:30:00,0.000,0.000
2019-02-01 21:45:00,0.000,0.000
2019-02-01 22:00:00,0.000,0.000
2019-02-01 22:15:00,0.000,0.000
2019-02-01 22:30:00,0.000,0.000
2019-02-01 22:45:00,0.000,0.000
2019-02-01 23:00:00,0.000,0.000
2019-02-01 23:15:00,0.000,0.000
2019-02-01 23:30:00,0.000,0.000
2019-02-01 23:45:00,0.000,0.000
2019-02-02 00:00:00,0.000,0.000
2019-02-02 00:15:00,0.000,0.000
2019-02-02 00:30:00,0.000,0.000
2019-02-02 00:45:00,0.000,0.000
2019-02-02 01:00:00,0.000,0.000
2019-02-02 01:15:00,0.000,0.000
2019-02-02 01:30:00,0.000,0.000
2019-02-02 01:45:00,0.000,0.000
2019-02-02 02:00:00,0.000,0.000
2019-02-02 02:15:00,0.000,0.000
2019-02-02 02:30:00,0.000,0.000
2019-02-02 02:45:00,0.000,0.000
2019-02-02 03:00:00,0.000,0.000
2019-02-02 03:15:00,0.000,0.000
2019-02-02 03:30:00,0.000,0.000
2019-02-02 03:45:00,0.000,0.000
2019-02-02 04:00:00,0.000,0.000
2019-02-02 04:15:00,0.000,0.000
2019-02-02 04:30:00,0.000,0.000
2019-02-02 04:45:00,0.000,0.000
2019-02-02 05:00:00,0.000,0.000
2019-02-02 05:15:00,0.000,0.000
2019-02-02 05:30:00,0.000,0.000
2019-02-02 05:45:00,0.000,0.000
2019-02-02 06:00:00,0.000,0.000
2019-02-02 06:15:00,0.000,0.000
2019-02-02 06:30:00,0.000,0.000
2019-02-02 06:45:00,0.000,0.000
2019-02-02 07:00:00,0.000,0.000
2019-02-02 07:15:00,0.000,0.000
2019-02-02 07:30:00,0.000,0.000
2019-02-02 07:45:00,0.000,0.000
2019-02-02 08:00:00,0.000,0.000
2019-02-02 08:15:00,0.000,0.000
2019-02-02 08:30:00,0.010,0.006
2019-02-02 08:45:00,0.013,0.008
2019-02-02 09:00:00,0.020,0.013
2019-02-02 09:15:00,0.027,0.017
2019-02-02 09:30:00,0.107,0.067
2019-02-02 09:45:00,0.087,0.054
2019-02-02 10:00:00,0.077,0.048
2019-02-02 10:15:00,0.107,0.067
2019-02-02 10:30:00,0.120,0.075
2019-02-02 10:45:00,0.187,0.117
2019-02-02 11:00:00,0.207,0.129
2019-02-02 11:15:00,0.233,0.146
2019-02-02 11:30:00,0.213,0.133
2019-02-02 11:45:00,0.233,0.146
2019-02-02 12:00:00,0.233,0.146
2019-02-02 12:15:00,0.233,0.146
2019-02-02 12:30:00,0.240,0.150
2019-02-02 12:45:00,0.140,0.088
2019-02-02 13:00:00,0.040,0.025
2019-02-02 13:15:00,0.020,0.013
2019-02-02 13:30:00,0.020,0.013
2019-02-02 13:45:00,0.013,0.008
2019-02-02 14:00:00,0.013,0.008
2019-02-02 14:15:00,0.013,0.008
2019-02-02 14:30:00,0.020,0.013
2019-02-02 14:45:00,0.013,0.008
2019-02-02 15:00:00,0.013,0.008
2019-02-02 15:15:00,0.013,0.008
2019-02-02 15:30:00,0.010,0.006
2019-02-02 15:45:00,0.007,0.004
2019-02-02 16:00:00,0.007,0.004
2019-02-02 16:15:00,0.007,0.004
2019-02-02 16:30:00,0.000,0.000
2019-02-02 16:45:00,0.000,0.000
2019-02-02 17:00:00,0.000,0.000
2019-02-02 17:15:00,0.000,0.000
2019-02-02 17:30:00,0.000,0.000
2019-02-02 17:45:00,0.000,0.000
2019-02-02 18:00:00,0.000,0.000
2019-02-02 18:15:00,0.000,0.000
2019-02-02 18:30:00,0.000,0.000
2019-02-02 18:45:00,0.000,0.000
2019-02-02 19:00:00,0.000,0.000
2019-02-02 19:15:00,0.000,0.000
2019-02-02 19:30:00,0.000,0.000
2019-02-02 19:45:00,0.000,0.000
2019-02-02 20:00:00,0.000,0.000
2019-02-02 20:15:00,0.000,0.000
2019-02-02 20:30:00,0.000,0.000
2019-02-02 20:45:00,0.000,0.000
2019-02-02 21:00:00,0.000,0.000
2019-02-02 21:15:00,0.000,0.000
2019-02-02 21:30:00,0.000,0.000
2019-02-02 21:45:00,0.000,0.000
2019-02-02 22:00:00,0.000,0.000
2019-02-02 22:15:00,0.000,0.000
2019-02-02 22:30:00,0.000,0.000
2019-02-02 22:45:00,0.000,0.000
2019-02-02 23:00:00,0.000,0.000
2019-02-02 23:15:00,0.000,0.000
2019-02-02 23:30:00,0.000,0.000
2019-02-02 23:45:00,0.000,0.000
2019-02-03 00:00:00,0.000,0.000
2019-02-03 00:15:00,0.000,0.000
2019-02-03 00:30:00,0.000,0.000
2019-02-03 00:45:00,0.000,0.000
2019-02-03 01:00:00,0.000,0.000
2019-02-03 01:15:00,0.000,0.000
2019-02-03 01:30:00,0.000,0.000
2019-02-03 01:45:00,0.000,0.000
2019-02-03 02:00:00,0.000,0.000
2019-02-03 02:15:00,0.000,0.000
2019-02-03 02:30:00,0.000,0.000
2019-02-03 02:45:00,0.000,0.000
2019-02-03 03:00:00,0.000,0.000
2019-02-03 03:15:00,0.000,0.000
2019-02-03 03:30:00,0.000,0.000
2019-02-03 03:45:00,0.000,0.000
2019-02-03 04:00:00,0.000,0.000
2019-02-03 04:15:00,0.000,0.000
2019-02-03 04:30:00,0.000,0.000
2019-02-03 04:45:00,0.000,0.000
2019-02-03 05:00:00,0.000,0.000
2019-02-03 05:15:00,0.000,0.000
2019-02-03 05:30:00,0.000,0.000
2019-02-03 05:45:00,0.000,0.000
2019-02-03 06:00:00,0.000,0.000
2019-02-03 06:15:00,0.000,0.000
2019-02-03 06:30:00,0.000,0.000
2019-02-03 06:45:00,0.000,0.000
2019-02-03 07:00:00,0.000,0.000
2019-02-03 07:15:00,0.000,0.000
2019-02-03 07:30:00,0.000,0.000
2019-02-03 07:45:00,0.000,0.000
2019-02-03 08:00:00,0.000,0.000
2019-02-03 08:15:00,0.000,0.000
2019-02-03 08:30:00,0.000,0.000
2019-02-03 08:45:00,0.003,0.002
2019-02-03 09:00:00,0.013,0.008
2019-02-03 09:15:00,0.013,0.008
2019-02-03 09:30:00,0.040,0.025
2019-02-03 09:45:00,0.120,0.075
2019-02-03 10:00:00,0.140,0.088
2019-02-03 10:15:00,0.160,0.100
2019-02-03 10:30:00,0.180,0.113
2019-02-03 10:45:00,0.190,0.119
2019-02-03 11:00:00,0.200,0.125
2019-02-03 11:15:00,0.210,0.131
2019-02-03 11:30:00,0.227,0.142
2019-02-03 11:45:00,0.227,0.142
2019-02-03 12:00:00,0.233,0.146
2019-02-03 12:15:00,0.233,0.146
2019-02-03 12:30:00,0.233,0.146
2019-02-03 12:45:00,0.237,0.148
2019-02-03 13:00:00,0.180,0.113
2019-02-03 13:15:00,0.053,0.033
2019-02-03 13:30:00,0.020,0.013
2019-02-03 13:45:00,0.013,0.008
2019-02-03 14:00:00,0.013,0.008
2019-02-03 14:15:00,0.007,0.004
2019-02-03 14:30:00,0.007,0.004
2019-02-03 14:45:00,0.007,0.004
2019-02-03 15:00:00,0.007,0.004
2019-02-03 15:15:00,0.007,0.004
2019-02-03 15:30:00,0.007,0.004
2019-02-03 15:45:00,0.007,0.004
2019-02-03 16:00:00,0.007,0.004
2019-02-03 16:15:00,0.007,0.004
2019-02-03 16:30:00,0.007,0.004
2019-02-03 16:45:00,0.007,0.004
2019-02-03 17:00:00,0.000,0.000
2019-02-03 17:15:00,0.000,0.000
2019-02-03 17:30:00,0.000,0.000
2019-02-03 17:45:00,0.000,0.000
2019-02-03 18:00:00,0.000,0.000
2019-02-03 18:15:00,0.000,0.000
2019-02-03 18:30:00,0.000,0.000
2019-02-03 18:45:00,0.000,0.000
2019-02-03 19:00:00,0.000,0.000
2019-02-03 19:15:00,0.000,0.000
2019-02-03 19:30:00,0.000,0.000
2019-02-03 19:45:00,0.000,0.000
2019-02-03 20:00:00,0.000,0.000
2019-02-03 20:15:00,0.000,0.000
2019-02-03 20:30:00,0.000,0.000
2019-02-03 20:45:00,0.000,0.000
2019-02-03 21:00:00,0.000,0.000
2019-02-03 21:15:00,0.000,0.000
2019-02-03 21:30:00,0.000,0.000
2019-02-03 21:45:00,0.000,0.000
2019-02-03 22:00:00,0.000,0.000
2019-02-03 22:15:00,0.000,0.000
2019-02-03 22:30:00,0.000,0.000
2019-02-03 22:45:00,0.000,0.000
2019-02-03 23:00:00,0.000,0.000
2019-02-03 23:15:00,0.000,0.000
2019-02-03 23:30:00,0.000,0.000
2019-02-03 23:45:00,0.000,0.000
2019-02-04 00:00:00,0.000,0.000
2019-02-04 00:15:00,0.000,0.000
2019-02-04 00:30:00,0.000,0.000
2019-02-04 00:45:00,0.000,0.000
2019-02-04 01:00:00,0.000,0.000
2019-02-04 01:15:00,0.000,0.000
2019-02-04 01:30:00,0.000,0.000
2019-02-04 01:45:00,0.000,0.000
2019-02-04 02:00:00,0.000,0.000
2019-02-04 02:15:00,0.000,0.000
2019-02-04 02:30:00,0.000,0.000
2019-02-04 02:45:00,0.000,0.000
2019-02-04 03:00:00,0.000,0.000
2019-02-04 03:15:00,0.000,0.000
2019-02-04 03:30:00,0.000,0.000
2019-02-04 03:45:00,0.000,0.000
2019-02-04 04:00:00,0.000,0.000
2019-02-04 04:15:00,0.000,0.000
2019-02-04 04:30:00,0.000,0.000
2019-02-04 04:45:00,0.000,0.000
2019-02-04 05:00:00,0.000,0.000
2019-02-04 05:15:00,0.000,0.000
2019-02-04 05:30:00,0.000,0.000
2019-02-04 05:45:00,0.000,0.000
2019-02-04 06:00:00,0.000,0.000
2019-02-04 06:15:00,0.000,0.000
2019-02-04 06:30:00,0.000,0.000
2019-02-04 06:45:00,0.000,0.000
2019-02-04 07:00:00,0.000,0.000
2019-02-04 07:15:00,0.000,0.000
2019-02-04 07:30:00,0.000,0.000
2019-02-04 07:45:00,0.000,0.000
2019-02-04 08:00:00,0.000,0.000
2019-02-04 08:15:00,0.000,0.000
2019-02-04 08:30:00,0.000,0.000
2019-02-04 08:45:00,0.000,0.000
2019-02-04 09:00:00,0.007,0.004
2019-02-04 09:15:00,0.040,0.024
2019-02-04 09:30:00,0.140,0.084
2019-02-04 09:45:00,0.160,0.096
2019-02-04 10:00:00,0.173,0.103
2019-02-04 10:15:00,0.193,0.115
2019-02-04 10:30:00,0.203,0.121
2019-02-04 10:45:00,0.213,0.127
2019-02-04 11:00:00,0.223,0.133
2019-02-04 11:15:00,0.233,0.139
2019-02-04 11:30:00,0.240,0.144
2019-02-04 11:45:00,0.240,0.144
